NO.,KODE PUSK.,NAMA PUSKESMAS,ALAMAT,Kota_Kabupaten,PONED,JENIS PUSKESMAS,full_address,location,latitude,longitude
11,P3201040202,CIJUJUNG,"Jl. Raya Galuga Km 19, Kec. Cibungbulang",Bogor,,2,"Jl. Raya Galuga Km 19, Kec. Cibungbulang, Bogor, Indonesia","Jl. Raya Galuga, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630, Indonesia",-6.575929,106.6482624
12,P3201040203,SITU UDIK,"Jl. Raya KH Abd. Hamid Km 4, Kec. Cibungbulang",Bogor,,2,"Jl. Raya KH Abd. Hamid Km 4, Kec. Cibungbulang, Bogor, Indonesia","Jl. KH. Abdul Hamid No.KM. 4, Situ Udik, Kec. Cibungbulang, Kabupaten Bogor, Jawa Barat 16630, Indonesia",-6.6157102,106.6570077
13,P3201050201,CIAMPEA,"Jl. Letnan Sukarno No. 28, Kec. Ciampea",Bogor,,2,"Jl. Letnan Sukarno No. 28, Kec. Ciampea, Bogor, Indonesia","Ciampea, Bogor Regency, West Java, Indonesia",-6.5549198,106.696144
14,P3201050202,PASIR,"Kp. Pasir Oray, Kec. Ciampea",Bogor,,2,"Kp. Pasir Oray, Kec. Ciampea, Bogor, Indonesia","Kp pasir oray No.008, RT.002, Cinangka, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620, Indonesia",-6.591831,106.7018735
15,P3201050203,CIAMPEA UDIK,"Kp. Laladon, Kec. Ciampea",Bogor,,2,"Kp. Laladon, Kec. Ciampea, Bogor, Indonesia","kp. laladon, CQ74+H9R, RT.05/RW.12, Sukaresmi, Kec. Ciomas, Kabupaten Bogor, Jawa Barat 16610, Indonesia",-6.586017399999999,106.7559004
16,P3201050204,CIHIDEUNG UDIK,"Ds. Cihideung Udik, Kec. Ciampea",Bogor,,2,"Ds. Cihideung Udik, Kec. Ciampea, Bogor, Indonesia","Cihideung Udik, Ciampea, Bogor Regency, West Java, Indonesia",-6.5834237,106.7190411
17,P3201051201,TENJOLAYA,"JL. R. Abd. Fatah Tapos II, Kec. Tenjolaya",Bogor,1.0,2,"JL. R. Abd. Fatah Tapos II, Kec. Tenjolaya, Bogor, Indonesia","Jl. Abdul Fatah, Tapos II, Kec. Tenjolaya, Kabupaten Bogor, Jawa Barat, Indonesia",-6.6328067,106.6941444
18,P3201060101,DARMAGA,"Jl. Raya Ciherang, Kec. Darmaga",Bogor,,1,"Jl. Raya Ciherang, Kec. Darmaga, Bogor, Indonesia","Jl. Raya Ciherang, Kec. Dramaga, Kabupaten Bogor, Jawa Barat, Indonesia",-6.5817553,106.7462706
19,P3201060202,CANGKURAWOK,"Kp Cangkurawok Rt 2/3, Kec. Darmaga",Bogor,,2,"Kp Cangkurawok Rt 2/3, Kec. Darmaga, Bogor, Indonesia","Jl. Cangkurawok No.02/04, Babakan, Kec. Dramaga, Kabupaten Bogor, Jawa Barat 16680, Indonesia",-6.5521707,106.7324825
20,P3201060203,KAMPUNG MANGGIS,"Jl. Sirnasari, Kec. Darmaga",Bogor,,2,"Jl. Sirnasari, Kec. Darmaga, Bogor, Indonesia","Jl. Sirnasari Raya, Sindangbarang, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16117, Indonesia",-6.5788476,106.7622961
21,P3201060204,PURWASARI,"Jl. Situ Lincal RT 01/07 No. 10, Kec. Darmaga",Bogor,,2,"Jl. Situ Lincal RT 01/07 No. 10, Kec. Darmaga, Bogor, Indonesia","Jl. Situ Uncal No.1 10, Petir, Kec. Dramaga, Kabupaten Bogor, Jawa Barat 16680, Indonesia",-6.615505,106.7273847
22,P3201070101,CIOMAS,"Kp. Sukajaya Rt 1/2, Kec. Ciomas",Bogor,1.0,1,"Kp. Sukajaya Rt 1/2, Kec. Ciomas, Bogor, Indonesia","Cicadas, Ciampea, Bogor Regency, West Java 16620, Indonesia",-6.585306399999999,106.6891051
23,P3201070202,CIAPUS,"Jl. Raya Sukamakmur, Kec. Ciomas",Bogor,,2,"Jl. Raya Sukamakmur, Kec. Ciomas, Bogor, Indonesia","Jl. Raya Suka Makmur, Sukamakmur, Kec. Ciomas, Kabupaten Bogor, Jawa Barat 16610, Indonesia",-6.6139005,106.7507608
24,P3201070203,KOTA BATU,"Jl. Raya Ciapus Komp Badak Putih, Kec. Ciomas",Bogor,,2,"Jl. Raya Ciapus Komp Badak Putih, Kec. Ciomas, Bogor, Indonesia","Jl. Raya Ciapus, Kec. Ciomas, Kabupaten Bogor, Jawa Barat, Indonesia",-6.6206993,106.7828166
25,P3201070204,LALADON,"Komplek Laladon Permai, Kec. Ciomas",Bogor,,2,"Komplek Laladon Permai, Kec. Ciomas, Bogor, Indonesia","Komplek Laladon Permai, RT.07/RW.03, Laladon, Kec. Ciomas, Kota Bogor, Jawa Barat 16610, Indonesia",-6.5817273,106.758694
26,P3201071201,TAMANSARI,"Ds. Sukajaya, Kec. Tamansari",Bogor,,2,"Ds. Sukajaya, Kec. Tamansari, Bogor, Indonesia","Sukajaya, Tamansari, Bogor Regency, West Java, Indonesia",-6.6382693,106.7323097
27,P3201071202,SIRNA GALIH,"Jl. Kapten Yusuf No.10, Kec. Tamansari",Bogor,,2,"Jl. Kapten Yusuf No.10, Kec. Tamansari, Bogor, Indonesia","Jl. Kapten Yusuf Gg. Purnama TK. Purnama No.10, Sukamantri, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610, Indonesia",-6.639074799999999,106.7780574
28,P3201071203,SUKARESMI,"Jl. Cipadung Ds Sukaresmi, Kec. Tamansari",Bogor,,2,"Jl. Cipadung Ds Sukaresmi, Kec. Tamansari, Bogor, Indonesia","Jl. Raya Cipadung, Sukaresmi, Kec. Tamansari, Kabupaten Bogor, Jawa Barat, Indonesia",-6.6377482,106.7497372
29,P3201080201,CIJERUK,"Ds. Tanjungsari Rt 9/4 No. 424, Kec. Cijeruk",Bogor,1.0,2,"Ds. Tanjungsari Rt 9/4 No. 424, Kec. Cijeruk, Bogor, Indonesia","Jl. Tanjungsari, Tajur Halang, Kec. Cijeruk, Kabupaten Bogor, Jawa Barat 16740, Indonesia",-6.6752696,106.7870524
30,P3201080202,CIBURAYUT,"Ds. Ciburayut No. 4, Kec. Cijeruk",Bogor,,2,"Ds. Ciburayut No. 4, Kec. Cijeruk, Bogor, Indonesia","Ciburayut, Cigombong, Bogor Regency, West Java, Indonesia",-6.7198397,106.7927658
31,P3201080203,SUKAHARJA,Kec. Cijeruk,Bogor,,2,"Kec. Cijeruk, Bogor, Indonesia","Cijeruk, Bogor Regency, West Java, Indonesia",-6.6928652,106.7934247
32,P3201081101,CIGOMBONG,"Jl. R. Abd. Fatah Tapos II, Kec. Cigombong",Bogor,1.0,1,"Jl. R. Abd. Fatah Tapos II, Kec. Cigombong, Bogor, Indonesia","Tapos II, Tenjolaya, Bogor Regency, West Java, Indonesia",-6.6345451,106.6910322
33,P3201090201,CARINGIN,"Jl. Kol. Bustomi Ds. Caringin, Kec. Caringin",Bogor,,2,"Jl. Kol. Bustomi Ds. Caringin, Kec. Caringin, Bogor, Indonesia","Jl. Kolonel Bustomi, Kec. Caringin, Kabupaten Bogor, Jawa Barat, Indonesia",-6.7046463,106.81942
34,P3201090202,CINAGARA,"Ds. Cinagara Rt2/5, Kec. Caringin",Bogor,,2,"Ds. Cinagara Rt2/5, Kec. Caringin, Bogor, Indonesia","Cinagara, Caringin, Bogor Regency, West Java, Indonesia",-6.752176,106.8620891
35,P3201090203,CIDERUM,"Kp. Cigereteg Rt 01/1, Kec. Caringin",Bogor,,2,"Kp. Cigereteg Rt 01/1, Kec. Caringin, Bogor, Indonesia","RT.01/RW.01, Jawa Barat, Indonesia",-6.679204899999999,106.8318497
36,P3201100201,CIAWI,"Jl. Raya Sukabumi Gg. Ayu, Kec. Ciawi",Bogor,,2,"Jl. Raya Sukabumi Gg. Ayu, Kec. Ciawi, Bogor, Indonesia","Gg. Ayu, Kec. Ciawi, Kabupaten Bogor, Jawa Barat, Indonesia",-6.6686229,106.847726
37,P3201100202,BANJARSARI,"Ds. Banjarsari Rt 05/011, Kec. Ciawi",Bogor,,2,"Ds. Banjarsari Rt 05/011, Kec. Ciawi, Bogor, Indonesia","Banjar Sari, Ciawi, Bogor Regency, West Java, Indonesia",-6.683679,106.8694651
38,P3201100203,CITAPEN,"Jl. Raya Tapos Ds Cipaten, Kec. Ciawi",Bogor,,2,"Jl. Raya Tapos Ds Cipaten, Kec. Ciawi, Bogor, Indonesia","Jl. Raya Tapos, Cibedug, Kec. Ciawi, Kabupaten Bogor, Jawa Barat 16720, Indonesia",-6.7036146,106.8869674
39,P3201110201,CISARUA,"Jl. Raya Puncak Km 63, Kec. Cisarua",Bogor,,2,"Jl. Raya Puncak Km 63, Kec. Cisarua, Bogor, Indonesia","Jl. Raya Puncak, Kec. Cisarua, Kabupaten Bogor, Jawa Barat, Indonesia",-6.6840347,106.9512553
40,P3201110202,CIBULAN,"Jl. Raya Puncak Km 81, Kec. Cisarua",Bogor,,2,"Jl. Raya Puncak Km 81, Kec. Cisarua, Bogor, Indonesia","Jl. Raya Puncak No.Km.81, Tugu Sel., Kec. Cisarua, Kabupaten Bogor, Jawa Barat 16750, Indonesia",-6.6806103,106.9322405
41,P3201120201,MEGAMENDUNG,"Ds. Cipayung Girang No. 1, Kec.  Megamendung",Bogor,,2,"Ds. Cipayung Girang No. 1, Kec.  Megamendung, Bogor, Indonesia","Jl. Cipayung Girang No.1, Cipayung Datar, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770, Indonesia",-6.6401084,106.8716837
42,P3201120202,SUKAMANAH,"Kp Pasir  Muncang Rt 1/1, Kec. Megamendung",Bogor,,2,"Kp Pasir  Muncang Rt 1/1, Kec. Megamendung, Bogor, Indonesia","Jl. Cikopo Sel. Jl. Raya Pasir Muncang No.Kp, RT.01/RW.02, Sukamanah, Kec. Megamendung, Kabupaten Bogor, Jawa Barat 16770, Indonesia",-6.6841675,106.8981823
43,P3201130201,CILEBUT,Kec. Sukaraja,Bogor,,2,"Kec. Sukaraja, Bogor, Indonesia","Sukaraja, Bogor Regency, West Java, Indonesia",-6.5885498,106.839355
44,P3201130102,CIMANDALA,"Jl. Raya Jakarta - Bogor Km 51, Kec. Sukaraja",Bogor,,1,"Jl. Raya Jakarta - Bogor Km 51, Kec. Sukaraja, Bogor, Indonesia","Jl. Raya Jakarta-Bogor No.KM.51, Ciluar, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16156, Indonesia",-6.515313099999999,106.838281
45,P3201130103,SUKARAJA,"Jl. Raya Cikeas, Kec. Sukaraja",Bogor,1.0,1,"Jl. Raya Cikeas, Kec. Sukaraja, Bogor, Indonesia","Jl. Cikeas Raya, Cikeas, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia",-6.586931,106.8454207
46,P3201140201,BABAKAN MADANG,"Jl. Raya Babakan Madang, Kec. Babakan Madang",Bogor,,2,"Jl. Raya Babakan Madang, Kec. Babakan Madang, Bogor, Indonesia","Jl. Raya Babakan Madang, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",-6.5483469,106.8529094
47,P3201140202,CIJAYANTI,"Jl. Cijayanti No. 6, Kec. Babakan Madang",Bogor,,2,"Jl. Cijayanti No. 6, Kec. Babakan Madang, Bogor, Indonesia","Jl. Raya Cijayanti No.6, Cijayanti, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",-6.5948213,106.8646685
48,P3201140203,SENTUL,"Jl. Pintu III Sirkuit Sentul, Kec. Babakan Madang",Bogor,,2,"Jl. Pintu III Sirkuit Sentul, Kec. Babakan Madang, Bogor, Indonesia","Jl. Pintu III, Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810, Indonesia",-6.5258492,106.8580755
49,P3201150101,SUKAMAKMUR,"Ds. Sukamakmur, Kec. Sukamakmur",Bogor,1.0,1,"Ds. Sukamakmur, Kec. Sukamakmur, Bogor, Indonesia","Sirnajaya, Sukamakmur, Bogor Regency, West Java 16830, Indonesia",-6.616081599999999,107.0007987
50,P3201150202,SUKADAMAI,"Kp. Waru Ds. Sukadamai, Kec. Sukamakmur",Bogor,,2,"Kp. Waru Ds. Sukadamai, Kec. Sukamakmur, Bogor, Indonesia","Sukadamai, Sukamakmur, Bogor Regency, West Java, Indonesia",-6.5548655,107.062802
51,P3201160201,CARIU,"Jl. Brigjen Darsono No. 13, Kec. Cariu",Bogor,1.0,2,"Jl. Brigjen Darsono No. 13, Kec. Cariu, Bogor, Indonesia","F4RJ+44C, Jl. Brigjen. Darsono No.13, Cariu, Kec. Cariu, Kabupaten Bogor, Jawa Barat 16840, Indonesia",-6.509605,107.1302441
52,P3201160202,KARYAMEKAR,"Ds. Karyamekar, Kec. Cariu",Bogor,,2,"Ds. Karyamekar, Kec. Cariu, Bogor, Indonesia","Karya Mekar, Cariu, Bogor Regency, West Java, Indonesia",-6.5507564,107.1071
53,P3201161101,TANJUNGSARI,"Jl. Abd Halim No. 60, Kec. Tanjungsari",Bogor,1.0,1,"Jl. Abd Halim No. 60, Kec. Tanjungsari, Bogor, Indonesia","Jl. H. Abdul Halim No.60, RT.02/RW.04, Cibadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16166, Indonesia",-6.5486328,106.7723511
54,P3201170101,JONGGOL,"Jl. Pojok Salak Rt 9/11, Kec. Jonggol",Bogor,,1,"Jl. Pojok Salak Rt 9/11, Kec. Jonggol, Bogor, Indonesia","Jl. Pojok Salak, Jonggol, Kec. Jonggol, Kabupaten Bogor, Jawa Barat 16830, Indonesia",-6.462941,107.0672322
55,P3201170202,BALEKAMBANG,"Kop. Bondol Ds. Balekambang, Kec. Jonggol",Bogor,,2,"Kop. Bondol Ds. Balekambang, Kec. Jonggol, Bogor, Indonesia","Balekambang, Jonggol, Bogor Regency, West Java, Indonesia",-6.5132126,107.0805202
56,P3201170203,SUKANEGARA,"Kp. Dayeuh Ds. Sukanegara, Kec. Jonggol",Bogor,,2,"Kp. Dayeuh Ds. Sukanegara, Kec. Jonggol, Bogor, Indonesia","Jl. Kp. Dayeuh, Sukanegara, Kec. Jonggol, Kabupaten Bogor, Jawa Barat 16830, Indonesia",-6.5398176,107.0301679
57,P3201180201,CILEUNGSI,"Ds. Cileungsi, Kec. Cileungsi",Bogor,1.0,2,"Ds. Cileungsi, Kec. Cileungsi, Bogor, Indonesia","Cileungsi, Bogor Regency, West Java, Indonesia",-6.402271799999999,106.9704941
58,P3201180202,GANDOANG,"Jl. Raya Cileungsi Jonggol, Kec. Cileungsi",Bogor,,2,"Jl. Raya Cileungsi Jonggol, Kec. Cileungsi, Bogor, Indonesia","Jl. Raya Cileungsi - Jonggol, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4118694,107.0100285
59,P3201180203,PASIR ANGIN,"Jl. Raya Setu Rt 1/1, Kec. Cileungsi",Bogor,,2,"Jl. Raya Setu Rt 1/1, Kec. Cileungsi, Bogor, Indonesia","Jl. Raya Setu No.1, Cileungsi, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat 16820, Indonesia",-6.3949048,106.9743685
61,P3201180204,BOJONG,"Ds. Bojong, Kec. Cileungsi",Bogor,,2,"Ds. Bojong, Kec. Cileungsi, Bogor, Indonesia","JXGP+FH4, Pasir Angin, Cileungsi, Bogor Regency, West Java 16820, Indonesia",-6.3738681,106.9864686
60,P3201181201,KELAPA NUNGGAL,"Ds. Kembang Kunung, Kec. Kelapa Nunggal",Bogor,1.0,2,"Ds. Kembang Kunung, Kec. Kelapa Nunggal, Bogor, Indonesia","Kembang Kuning, Klapanunggal, Bogor Regency, West Java, Indonesia",-6.4514269,106.9388118
62,P3201190101,GUNUNG PUTRI,"Jl. Wanaherang, Kec. Gunung Putri",Bogor,,1,"Jl. Wanaherang, Kec. Gunung Putri, Bogor, Indonesia","Jl. Wanaherang Raya, Wanaherang, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16965, Indonesia",-6.4168954,106.9374964
63,P3201190202,CIANGSANA,"Kp. Cikeas Hilir Rt 5/3, Kec. Gunung Putri",Bogor,,2,"Kp. Cikeas Hilir Rt 5/3, Kec. Gunung Putri, Bogor, Indonesia","3, Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16969, Indonesia",-6.3205668,106.9615875
64,P3201190203,KRANGGAN,"Jl. Raya Kranggan No. 148, Kec. Gunung Putri",Bogor,,2,"Jl. Raya Kranggan No. 148, Kec. Gunung Putri, Bogor, Indonesia","Jl. Raya Kranggan No.148, RT.004/RW.008, Jatiranggon, Kec. Jatisampurna, Kota Bks, Jawa Barat 17432, Indonesia",-6.339585599999999,106.922975
65,P3201190204,BOJONG NANGKA,"Jl. Golf River Side, Kec. Gunung Putri",Bogor,,2,"Jl. Golf River Side, Kec. Gunung Putri, Bogor, Indonesia","Jl. Bukit Golf Riverside, Bojong Nangka, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16965, Indonesia",-6.4218015,106.9019911
66,P3201200101,CITEUREUP,"Jl. Alternatif Puspanegara, Kec. Citeureup",Bogor,,1,"Jl. Alternatif Puspanegara, Kec. Citeureup, Bogor, Indonesia","Jl. Kartika Raya, Cibinong, Kec. Citeureup, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4954195,106.8596094
67,P3201200202,LEUWINUTUG,"Jl. Setu, Kec. Citeureup",Bogor,,2,"Jl. Setu, Kec. Citeureup, Bogor, Indonesia","Jl. Kartika Raya, Cibinong, Kec. Citeureup, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4954195,106.8596094
68,P3201200203,TAJUR,"Jl. Raya Tajur, Kec. Citeureup",Bogor,,2,"Jl. Raya Tajur, Kec. Citeureup, Bogor, Indonesia","Jl. Kartika Raya, Cibinong, Kec. Citeureup, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4954195,106.8596094
69,P3201210201,CIBINONG,"Jl.  Raya Bogor Km 47.5, Kec. Cibinong",Bogor,,2,"Jl.  Raya Bogor Km 47.5, Kec. Cibinong, Bogor, Indonesia","Jl. Raya Bogor, Kec. Cibinong, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4709996,106.8499635
70,P3201210202,CIRIMEKAR,"Jl. Kayu Manis, Kec. Cibinong",Bogor,,2,"Jl. Kayu Manis, Kec. Cibinong, Bogor, Indonesia","Jl. Kayu Manis, Cirimekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4736804,106.8536016
71,P3201210203,KARADENAN,"Ds. Karadenan, Kec. Cibinong",Bogor,,2,"Ds. Karadenan, Kec. Cibinong, Bogor, Indonesia","Karadenan, Cibinong, Bogor Regency, West Java, Indonesia",-6.5182585,106.8082216
72,P3201210204,PABUARAN INDAH,"Perum Pabuaran Indah Blok H, Kec. Cibinong",Bogor,,2,"Perum Pabuaran Indah Blok H, Kec. Cibinong, Bogor, Indonesia","Jl. Dahlia I No.1 Blok D-3, RT.14/RW.17, Pabuaran, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16916, Indonesia",-6.4437918,106.8466881
73,P3201210205,SULIWER,"Ds. Cibinong, Kec.Cibinong",Bogor,,2,"Ds. Cibinong, Kec.Cibinong, Bogor, Indonesia","Cibinong, Bogor Regency, West Java, Indonesia",-6.487495000000001,106.8496222
74,P3201220201,BOJONG GEDE,Kec. Bojong Gede,Bogor,,2,"Kec. Bojong Gede, Bogor, Indonesia","Bojonggede, Bogor Regency, West Java, Indonesia",-6.4960615,106.7947017
75,P3201220202,RAGAJAYA,"Kp. Caringin Rt 01/08, Kec. Bojong Gede",Bogor,,2,"Kp. Caringin Rt 01/08, Kec. Bojong Gede, Bogor, Indonesia","Jl. Setapak No.30, RT.3/RW.11, Ragajaya, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat 16920, Indonesia",-6.442759,106.7750445
76,P3201220203,KEMUNING,"Jl Raya Tonjong Cimanggis, Kec. Bojong Gede",Bogor,1.0,2,"Jl Raya Tonjong Cimanggis, Kec. Bojong Gede, Bogor, Indonesia","Jl. Raya Tonjong, Cimanggis, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat, Indonesia",-6.502131,106.7734617
77,P3201221201,TAJURHALANG,"Ds. Tajurhalang, Kec. Tajurhalang",Bogor,1.0,2,"Ds. Tajurhalang, Kec. Tajurhalang, Bogor, Indonesia","Tajur Halang, Bogor Regency, West Java, Indonesia",-6.4758182,106.7578498
78,P3201230201,KEMANG,"Ds. Kemang, Kec. Kemang",Bogor,,2,"Ds. Kemang, Kec. Kemang, Bogor, Indonesia","Kemang, Bogor Regency, West Java, Indonesia",-6.4770259,106.7301359
79,P3201230202,JAMPANG,"Ds. Jampang, Kec. Kemang",Bogor,,2,"Ds. Jampang, Kec. Kemang, Bogor, Indonesia","Jl Raya Parung Gg Palem RT 04 RW 05 Jampang Parung, Jampang, Kec. Kemang, Kabupaten Bogor, Jawa Barat 16330, Indonesia",-6.4833072,106.7320705
80,P3201231201,RANCA BUNGUR,Kec. Ranca Bungur,Bogor,,2,"Kec. Ranca Bungur, Bogor, Indonesia","Ranca Bungur, Bogor Regency, West Java, Indonesia",-6.5379916,106.7312575
81,P3201240201,PARUNG,"Ds. Parung, Kec. Parung",Bogor,1.0,2,"Ds. Parung, Kec. Parung, Bogor, Indonesia","Parung, Bogor Regency, West Java, Indonesia",-6.4222402,106.7325943
82,P3201240202,BANTAR JAYA,"Jl. Atang Sanjaya, Kec. Parung",Bogor,,2,"Jl. Atang Sanjaya, Kec. Parung, Bogor, Indonesia","Jl. Atang Senjaya, Kabupaten Bogor, Jawa Barat, Indonesia",-6.538972,106.7369369
83,P3201241201,CISEENG,"Jl. Nusa Ciseeng, Kec. Ciseeng",Bogor,,2,"Jl. Nusa Ciseeng, Kec. Ciseeng, Bogor, Indonesia","Ciseeng, Bogor Regency, West Java, Indonesia",-6.4492597,106.6779359
84,P3201241202,CIBEUTEUNG UDIK,"Jl. Raya Cibeuteung Udik, Kec. Ciseeng",Bogor,,2,"Jl. Raya Cibeuteung Udik, Kec. Ciseeng, Bogor, Indonesia","Jl. Raya Cibeuteung, Kec. Ciseeng, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4906164,106.6894366
85,P3201250201,GUNUNG SINDUR,"Ds. Gunung Sindur, Kec. Gunung Sindur",Bogor,,2,"Ds. Gunung Sindur, Kec. Gunung Sindur, Bogor, Indonesia","Gunung Sindur, Bogor Regency, West Java, Indonesia",-6.3847562,106.6804186
86,P3201250202,COGREG,"Jl. Raya Ciseeng, Kec. Gunung Sindur",Bogor,,2,"Jl. Raya Ciseeng, Kec. Gunung Sindur, Bogor, Indonesia","Jl. Raya Ciseeng, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4368613,106.6951991
87,P3201260101,RUMPIN,"Kp. Waru Sawah Rt 17/04, Kec. Rumpin",Bogor,1.0,1,"Kp. Waru Sawah Rt 17/04, Kec. Rumpin, Bogor, Indonesia","HP87+C3V, Warujaya, Parung, Bogor Regency, West Java 16330, Indonesia",-6.4338847,106.7126772
88,P3201260202,CICANGKAL,"Jl.  Raya Cicangkal, Kec. Rumpin",Bogor,,2,"Jl.  Raya Cicangkal, Kec. Rumpin, Bogor, Indonesia","Jl. Raya Cicangkal, Kec. Rumpin, Kabupaten Bogor, Jawa Barat 16350, Indonesia",-6.407839,106.6374435
89,P3201260203,GOBANG,"Jl. Raya Gobang, Kec. Rumpin",Bogor,,2,"Jl. Raya Gobang, Kec. Rumpin, Bogor, Indonesia","Jl. Raya Gobang, Gobang, Kec. Rumpin, Kabupaten Bogor, Jawa Barat 16350, Indonesia",-6.5082425,106.6519869
90,P3201270101,CIGUDEG,"Ds. Cigudeg, Kec. Cigudeg",Bogor,1.0,1,"Ds. Cigudeg, Kec. Cigudeg, Bogor, Indonesia","Jl. Raya Cigudeg No.17, Cigudeg, Kec. Cigudeg, Kabupaten Bogor, Jawa Barat 16660, Indonesia",-6.5522735,106.5371411
91,P3201270202,LEBAK WANGI,"Ds. Lebakwangi, Kec. Cigudeg",Bogor,,2,"Ds. Lebakwangi, Kec. Cigudeg, Bogor, Indonesia","Jl. Lb. Wangi, Kec. Cigudeg, Kabupaten Bogor, Jawa Barat, Indonesia",-6.4301094,106.526721
